date,equity,pos,tsmx
2026-05-08,346874.1965958207,1,81.9138
2026-05-11,334847.4391294135,1,79.0737
2026-05-12,322440.83583196625,1,76.1439
2026-05-13,326871.94706496806,1,77.1903
2026-05-14,355524.68782936066,1,83.9566
2026-05-15,333328.4792677184,1,78.715
2026-05-18,318432.3401389621,1,75.1973
2026-05-19,313916.95987543964,1,74.131
2026-05-20,327800.1767880893,1,77.4095
2026-05-21,335944.6303760408,1,79.3328
2026-05-22,331429.2501125183,1,78.2665
2026-05-26,344257.62202503346,1,81.2959
2026-05-27,361643.72044756374,1,85.4016
2026-05-28,365103.8322484867,1,86.2187
2026-05-29,354680.7271367601,1,83.7573
2026-06-01,384304.4673332315,1,90.7529
2026-06-02,402787.7570023891,1,95.1177
2026-06-03,385570.6201033649,1,91.0519
2026-06-04,398905.45312393334,1,94.2009
2026-06-05,344553.1988255529,1,81.3657
2026-06-08,364471.17932588496,1,86.0693
2026-06-09,366665.5618191395,1,86.5875
2026-06-10,333497.0173287596,1,78.7548
2026-06-11,354385.5737987056,1,83.6876
2026-06-12,359111.83836976194,1,84.8037
2026-06-15,387933.5406576606,1,91.6099
2026-06-16,361179.60558600316,1,85.292
2026-06-17,371729.3259747431,1,87.7833
2026-06-18,423000.89084077574,1,99.891
2026-06-22,432664.3042904223,1,102.173
2026-06-23,375568.8601442412,1,88.69
2026-06-24,382598.3370620384,1,90.35
2026-06-25,372604.6228897483,1,87.99
